2014-12-08,226285,229374,226150,227800,1000,227800,-5.3232274827,-5.4401927388,-4.8522639725,20141208,0,12,2014,86100316,1635000
2014-12-05,225650,225981,225021,225640,300,225640,-5.4747015497,-5.459210032,-4.8512709962,20141205,4,12,2014,86100316,1635000
2014-12-04,224950,225215,223915,225215,300,225215,-5.475918613,-5.3562504587,-4.8507842071,20141204,3,12,2014,86100316,1635000
2014-12-03,225900,225900,224350,224485,200,224485,-5.4561058031,-5.2965076495,-4.84940584,20141203,2,12,2014,86100316,1635000
2014-12-02,223800,225000,223020,225000,200,225000,-5.5356499965,-5.3130033168,-4.8487012004,20141202,1,12,2014,86100316,1635000
2014-12-01,223100,224671,222361,222525,200,222525,-5.7307493862,-5.2279838429,-4.8477995595,20141201,0,12,2014,86100316,1635000
2014-11-28,222705,224070,222669,223065,200,223065,-5.7932715741,-5.1692972745,-4.848173586,20141128,4,11,2014,86100316,1635000
2014-11-26,222299,222451,221965,222411,100,222411,-5.7845314044,-5.0857139262,-4.8481361845,20141126,2,11,2014,86100316,1635000
2014-11-25,221315,222000,221100,221725,300,221725,-5.7874673137,-5.0823181345,-4.8463063724,20141125,1,11,2014,86100316,1635000
2014-11-24,220575,221130,219455,221052,200,221052,-5.478739983,-5.0768816903,-4.8433727921,20141124,0,11,2014,86100316,1635000
2014-11-21,220300,220369,219400,219935,200,219935,-5.464822457,-5.0667635716,-4.8439124943,20141121,4,11,2014,86100316,1635000
2014-11-20,217800,218609,217300,218250,100,218250,-5.6570278892,-4.921442932,-4.8411851853,20141120,3,11,2014,86100316,1635000
2014-11-19,218799,218799,217576,218544,200,218544,-5.6700851324,-4.7918084309,-4.8391553862,20141119,2,11,2014,86100316,1635000
2014-11-18,218540,219610,218275,218868,200,218868,-5.2950394352,-4.7169327641,-4.8392935517,20141118,1,11,2014,86100316,1635000
2014-11-17,218545,218545,217098,218540,200,218540,-5.2894875383,-4.7158236776,-4.8388583634,20141117,0,11,2014,86100316,1635000
2014-11-14,219331,219817,217646,218023,300,218023,-5.2888976248,-4.6944323133,-4.8382190748,20141114,4,11,2014,86100316,1635000
2014-11-13,218656,219366,218370,219300,400,219300,-5.5888211087,-4.702013792,-4.8386028543,20141113,3,11,2014,86100316,1635000
2014-11-12,217875,218544,217045,218101,400,218101,-5.4969216993,-4.6774154046,-4.8386065536,20141112,2,11,2014,86100316,1635000
2014-11-11,218400,218400,217214,217352,100,217352,-5.5040729847,-4.6754811191,-4.8325762369,20141111,1,11,2014,86100316,1635000
2014-11-10,215899,217500,215814,217500,400,217500,-5.6868304443,-4.6709481865,-4.8326417661,20141110,0,11,2014,86100316,1635000
2014-11-07,215226,215925,214326,214970,200,214970,-5.6628234332,-4.6759807154,-4.8322459944,20141107,4,11,2014,86100316,1635000
2014-11-06,214821,214935,213400,214800,200,214800,-5.4098888593,-4.6101762101,-4.830499041,20141106,3,11,2014,86100316,1635000
2014-11-05,214799,214799,212795,214155,200,214155,-5.371526011,-4.6053232555,-4.8305353878,20141105,2,11,2014,86100316,1635000
